,Unnamed: 0,OBJECTID,TAG,TENSION_NO,POTENCIA_I,POTENCIA_E,x,y,geometry,Ingreso
38,38,141.0,CH,,12.6,12.6,-77.44041313999998,-8.014090468999996,POINT (-77.44041313999998 -8.014090468999996),113609
39,39,142.0,CH,,3.5,2.8,-78.80228811500001,-5.695424328000001,POINT (-78.80228811500001 -5.695424328000001),209570
40,40,143.0,CH,,2.08,0.8,-74.22757000000001,-13.196740999999976,POINT (-74.22757000000001 -13.196740999999975),204055
41,41,144.0,CH,,0.6,0.0,-71.80489511299999,-15.208539588000008,POINT (-71.80489511299999 -15.208539588000008),141184
42,42,145.0,CH,,108.0,113.1,-70.46036274400001,-13.645514644000002,POINT (-70.46036274400001 -13.645514644000002),126845
43,43,146.0,CH,,0.5,0.422,-71.80328125300002,-15.216236099000014,POINT (-71.80328125300002 -15.216236099000014),200746
44,44,147.0,CH,,1.176,0.86,-72.69955900000002,-12.86716899999999,POINT (-72.69955900000002 -12.86716899999999),199643
45,45,148.0,CH,,2.7,2.53,-72.557659,-14.039143000000024,POINT (-72.557659 -14.039143000000024),161038
46,46,149.0,CH,,0.4,0.36,-72.622499,-14.070318999999984,POINT (-72.622499 -14.070318999999984),115815
47,47,150.0,CH,,0.12,0.1,-73.24799999999999,-14.295999999999992,POINT (-73.24799999999999 -14.295999999999992),181995
48,48,151.0,CH,,1.6,1.52,-72.922909,-13.73778299999998,POINT (-72.922909 -13.737782999999979),198540
49,49,152.0,CH,,0.57,0.5,-73.50110999999998,-13.774400000000014,POINT (-73.50110999999998 -13.774400000000014),205158
50,50,153.0,CH,,2.0,1.8,-73.31914899999998,-13.322311000000012,POINT (-73.31914899999998 -13.322311000000013),209570
51,51,154.0,CH,,0.552,0.0,-75.32636224200002,-11.081773655000006,POINT (-75.32636224200002 -11.081773655000006),143390
52,52,155.0,CH,,1.25,1.2,-74.85466000000002,-10.942203000000006,POINT (-74.85466000000002 -10.942203000000006),190819
53,53,156.0,CH,,3.26,3.0,-74.60894189999999,-11.220557766000011,POINT (-74.60894189999999 -11.220557766000013),205158
54,54,157.0,CH,,1.0,1.0,-74.50417199999998,-11.486946999999986,POINT (-74.50417199999998 -11.486946999999986),197437
55,55,158.0,CH,,0.28,0.25,-74.87408941400003,-11.984779968999987,POINT (-74.87408941400003 -11.984779968999987),207364
56,56,159.0,CH,,0.6,0.45,-72.71730500000001,-16.57320199999998,POINT (-72.71730500000001 -16.57320199999998),166553
57,57,160.0,CH,,0.25,0.25,-72.65644500000002,-15.782322000000022,POINT (-72.65644500000002 -15.782322000000022),204055
58,58,161.0,CH,,3.054,1.4,-77.18135799999999,-9.349987999999996,POINT (-77.18135799999999 -9.349987999999996),157729
59,59,162.0,CH,,0.59,0.355,-78.10123215499999,-7.847670650999987,POINT (-78.10123215499999 -7.847670650999987),193025
60,60,163.0,CH,,0.58,0.58,-78.30525,-7.264438999999982,POINT (-78.30525 -7.264438999999982),134566
61,61,164.0,CH,,1.46,1.3,-75.27156000000002,-11.888431000000026,POINT (-75.27156000000002 -11.888431000000026),177583
62,62,165.0,CH,,0.14,0.14,-72.49694499999998,-15.647825000000012,POINT (-72.49694499999998 -15.647825000000012),167656
63,63,166.0,CH,,0.25,0.25,-72.28729904099998,-15.20605005599998,POINT (-72.28729904099998 -15.206050055999981),122433
64,64,167.0,CH,,0.576,0.5,-78.41830199999998,-7.100009,POINT (-78.41830199999998 -7.100009),207364
65,65,168.0,CH,,0.85,0.0,-79.453822,-5.237171999999987,POINT (-79.453822 -5.237171999999987),134566
66,66,169.0,CH,,1.66,1.6,-79.88986399999999,-4.667847999999992,POINT (-79.88986399999999 -4.667847999999992),116918
67,67,170.0,CH,,0.093,0.055,-79.603972,-5.373706000000027,POINT (-79.603972 -5.373706000000027),141184
68,68,171.0,CH,,2.0,1.7,-78.052461,-6.966289001000007,POINT (-78.052461 -6.966289001000007),134566
69,69,172.0,CH,,0.38,0.36,-78.476817988,-6.116224224000007,POINT (-78.476817988 -6.116224224000007),132360
70,70,173.0,CH,,2.4,2.0,-69.44080400000001,-14.297114000000022,POINT (-69.44080400000001 -14.297114000000022),143390
71,71,174.0,CH,,0.9,0.9,-75.291305351,-12.32386865799998,POINT (-75.291305351 -12.32386865799998),121330
72,72,175.0,CH,,0.252,0.25,-75.17870213100002,-12.010726814000009,POINT (-75.17870213100002 -12.010726814000009),165450
73,73,176.0,CH,,1.05,0.95,-72.46617400000002,-15.978431,POINT (-72.46617400000002 -15.978431),155523
74,74,177.0,CH,,8.0,7.5,-78.72309177699998,-8.410571371000003,POINT (-78.72309177699998 -8.410571371000003),141184
75,75,178.0,CH,,0.52,0.52,-78.011438,-7.64146199999999,POINT (-78.011438 -7.64146199999999),219497
76,76,179.0,CH,,1.79,1.78,-72.13130336900002,-16.448905480000008,POINT (-72.13130336900002 -16.448905480000008),130154
77,77,180.0,CH,,1.536,1.3,-73.76193599999999,-12.602936,POINT (-73.76193599999999 -12.602936),201849
78,78,181.0,CH,,0.328,0.327,-78.153369,-7.265350000000012,POINT (-78.153369 -7.265350000000012),163244
79,79,182.0,CH,,4.0,3.3,-75.35047800000001,-12.053221000000008,POINT (-75.35047800000001 -12.053221000000008),157729
80,80,183.0,CH,,5.0,0.0,-72.31124999999997,-14.985985000000028,POINT (-72.31124999999997 -14.985985000000028),153317
81,81,184.0,CH,,0.6,0.5,-75.34485000000001,-12.65993500000002,POINT (-75.34485000000001 -12.659935000000019),185304
82,82,185.0,CH,,0.15,0.15,-79.79325299999999,-5.072546999999986,POINT (-79.79325299999999 -5.072546999999986),118021
83,83,186.0,CH,,106.0,105.9,-79.23992495599998,-6.611230271000011,POINT (-79.23992495599998 -6.611230271000011),161038
84,84,187.0,CH,,8.96,9.0,-71.48889258899999,-16.303872651999995,POINT (-71.48889258899999 -16.303872651999995),126845
85,85,188.0,CH,,5.0,4.59,-71.51232963500001,-16.317818105000015,POINT (-71.51232963500001 -16.317818105000015),154420
86,86,189.0,CH,,1.76,1.73,-71.51978055500001,-16.321370478000006,POINT (-71.51978055500001 -16.321370478000006),168759
87,87,190.0,CH,,0.78,0.6,-71.52434196500002,-16.323889662,POINT (-71.52434196500002 -16.323889662),115815
88,88,191.0,CH,,6.0,6.5,-77.84499074399997,-8.921011776,POINT (-77.84499074399997 -8.921011776),110300
89,89,192.0,CH,,7.0,6.5,-77.82887396500001,-8.924694132000013,POINT (-77.82887396500001 -8.924694132000013),185304
90,90,193.0,CH,,10.0,8.0,-75.58433636400002,-11.25091101800001,POINT (-75.58433636400002 -11.25091101800001),216188
91,91,194.0,CH,,10.0,8.0,-75.55932392800003,-11.261234563000016,POINT (-75.55932392800003 -11.261234563000016),188613
92,92,195.0,CH,,6.0,6.0,-75.55712073699999,-11.268531285999984,POINT (-75.55712073699999 -11.268531285999984),144493
93,93,196.0,CH,,132.0,128.0,-76.45613937799999,-11.885884998999984,POINT (-76.45613937799999 -11.885884998999984),133463
94,94,197.0,CH,,20.0,0.0,-79.01408967700002,-6.643856060000019,POINT (-79.01408967700002 -6.643856060000019),220600
95,95,198.0,CH,,10.0,0.0,-80.50923899999998,-4.684779999999989,POINT (-80.50923899999998 -4.684779999999989),156626
96,96,199.0,CH,,98.0,98.12,-72.59586647700002,-13.114751005000016,POINT (-72.59586647700002 -13.114751005000016),185304
97,97,200.0,CH,,168.0,,-77.008328775,-10.92783665899998,POINT (-77.008328775 -10.92783665899998),159935
98,98,201.0,CH,,112.0,,-77.82441841100001,-8.776101923999988,POINT (-77.82441841100001 -8.776101923999988),196334
99,99,202.0,CH,,102.0,102.0,-72.563510017,-13.175085842999977,POINT (-72.563510017 -13.175085842999977),197437
100,100,203.0,CH,,1.3,0.5,-79.75145422100002,-4.618748083000014,POINT (-79.75145422100002 -4.618748083000014),183098
101,101,204.0,CH,,20.0,20.0,-75.06965065700001,-11.652917452999986,POINT (-75.06965065700001 -11.652917452999986),152214
102,102,205.0,CH,,20.0,19.1,-75.05881611000001,-11.64623647899998,POINT (-75.05881611000001 -11.646236478999981),138978
103,103,206.0,CH,,406.0,406.0,-75.885794772,-9.601788785999986,POINT (-75.885794772 -9.601788785999986),112506
104,104,411.0,SB,33.0,20.0,,-71.47772802600002,-16.414298700000018,POINT (-71.47772802600002 -16.414298700000018),204055
105,105,412.0,SB,33.0,25.0,,-71.55701797699999,-16.383325418000027,POINT (-71.55701797699999 -16.383325418000027),187510
106,106,413.0,SB,33.0,5.0,,-72.01881913699998,-17.02343507400002,POINT (-72.01881913699998 -17.02343507400002),135669
107,107,414.0,SB,33.0,40.0,,-71.54772518499999,-16.418670150000025,POINT (-71.54772518499999 -16.418670150000025),189716
108,108,415.0,SB,220.0,0.0,,-73.30140224600001,-14.532672581999975,POINT (-73.30140224600001 -14.532672581999975),205158
109,109,416.0,SB,138.0,85.0,,-74.615614768,-8.400229844000023,POINT (-74.615614768 -8.400229844000023),168759
110,110,417.0,SB,138.0,3.0,,-77.85255504100002,-8.813040527999988,POINT (-77.85255504100002 -8.813040527999988),220600
111,111,418.0,SB,220.0,118.0,,-77.87252946699999,-8.775190506000001,POINT (-77.87252946699999 -8.775190506000001),166553
112,112,419.0,SB,60.0,25.0,,-78.50769545499998,-7.17779772199998,POINT (-78.50769545499998 -7.17779772199998),131257
113,113,420.0,SB,220.0,265.0,,-79.86989180799998,-6.7820244399999865,POINT (-79.86989180799998 -6.7820244399999865),202952
114,114,421.0,SB,60.0,5.0,,-77.64780398300002,-9.273956861999975,POINT (-77.64780398300002 -9.273956861999975),180892
115,115,422.0,SB,138.0,26.0,,-78.58395900099998,-9.059055949000026,POINT (-78.58395900099998 -9.059055949000026),138978
116,116,423.0,SB,60.0,20.0,,-77.53731199999999,-9.511545000000012,POINT (-77.53731199999999 -9.511545000000012),175377
117,117,424.0,SB,138.0,7.0,,-78.44338796,-9.235051173999976,POINT (-78.44338796 -9.235051173999976),218394
118,118,425.0,SB,220.0,20.0,,-76.94180746,-9.90174300299998,POINT (-76.94180746 -9.90174300299998),147802
119,119,426.0,SB,220.0,100.0,,-75.992052839,-9.28947182799999,POINT (-75.992052839 -9.28947182799999),118021
120,120,427.0,SB,138.0,27.0,,-76.112955043,-8.937212155999987,POINT (-76.112955043 -8.937212155999987),169862
121,121,428.0,SB,220.0,95.0,,-77.74170429899999,-10.68029866400002,POINT (-77.74170429899999 -10.68029866400002),153317
122,122,429.0,SB,138.0,53.0,,-76.23864857500001,-9.937766567999972,POINT (-76.23864857500001 -9.937766567999972),135669
123,123,430.0,SB,138.0,0.0,,-77.822477951,-10.670954484999982,POINT (-77.822477951 -10.670954484999982),155523
124,124,431.0,SB,220.0,0.0,,-77.25226890900001,-10.102872244000023,POINT (-77.25226890900001 -10.102872244000023),210673
125,125,432.0,SB,220.0,0.0,,-76.03253595799998,-10.920514376000028,POINT (-76.03253595799998 -10.920514376000028),208467
126,126,433.0,SB,220.0,60.0,,-75.49346530499997,-9.03076868300002,POINT (-75.49346530499997 -9.03076868300002),199643
127,127,434.0,SB,220.0,225.0,,-77.043743984,-9.56170001800001,POINT (-77.043743984 -9.56170001800001),131257
128,128,435.0,SB,220.0,0.0,,-76.93292100000002,-9.894515000000013,POINT (-76.93292100000002 -9.894515000000013),207364
129,129,436.0,SB,60.0,6.5,,-77.80333000000002,-9.062187999999992,POINT (-77.80333000000002 -9.062187999999992),202952
130,130,437.0,SB,138.0,0.0,,-76.277114256,-10.673234911000009,POINT (-76.277114256 -10.673234911000009),188613
131,131,438.0,SB,220.0,120.0,,-75.643900342,-10.722352780999984,POINT (-75.643900342 -10.722352780999984),121330
132,132,439.0,SB,138.0,30.0,,-76.05719490000001,-10.930101229000002,POINT (-76.05719490000001 -10.930101229000002),174274
133,133,440.0,SB,138.0,0.0,,-75.889492658,-11.371502678000011,POINT (-75.889492658 -11.371502678000011),215085
134,134,441.0,SB,138.0,80.0,,-75.778137689,-11.378577248,POINT (-75.778137689 -11.378577248),159935
135,135,442.0,SB,220.0,0.0,,-76.06449789599998,-11.632971123000004,POINT (-76.06449789599998 -11.632971123000004),151111
136,136,443.0,SB,220.0,50.0,,-76.13227252000001,-11.733959544000015,POINT (-76.13227252000001 -11.733959544000015),208467
137,137,444.0,SB,138.0,200.0,,-75.91766799999999,-11.532436000000018,POINT (-75.91766799999999 -11.532436000000018),198540
138,138,445.0,SB,220.0,1200.0,,-76.96293007999998,-11.796945122000013,POINT (-76.96293007999998 -11.796945122000013),152214
139,139,446.0,SB,220.0,240.0,,-77.11680813999999,-11.931572768000024,POINT (-77.11680813999999 -11.931572768000024),143390
140,140,447.0,SB,220.0,330.0,,-76.88052131199998,-11.968539138999972,POINT (-76.88052131199998 -11.968539138999972),183098
141,141,448.0,SB,220.0,180.0,,-77.047873015,-11.827422220000017,POINT (-77.047873015 -11.827422220000017),152214
142,142,449.0,SB,220.0,593.0,,-76.99483462299997,-12.112329859,POINT (-76.99483462299997 -12.112329859),213982
143,143,450.0,SB,60.0,410.0,,-76.97417900900001,-12.177036046000012,POINT (-76.97417900900001 -12.177036046000012),132360
144,144,451.0,SB,220.0,0.0,,-77.066206282,-11.997688170999991,POINT (-77.066206282 -11.997688170999991),209570
145,145,452.0,SB,220.0,0.0,,-76.84276229900001,-12.088092999000024,POINT (-76.84276229900001 -12.088092999000024),218394
146,146,453.0,SB,500.0,600.0,,-76.72547772299998,-12.495830988000025,POINT (-76.72547772299998 -12.495830988000025),113609
147,147,454.0,SB,220.0,80.0,,-75.22466001200002,-12.13192987399998,POINT (-75.22466001200002 -12.13192987399998),206261
148,148,455.0,SB,220.0,840.0,,-74.650760693,-12.35827962000002,POINT (-74.650760693 -12.35827962000002),196334
149,149,456.0,SB,60.0,26.0,,-74.376336901,-12.589435273999982,POINT (-74.376336901 -12.589435273999982),187510
150,150,457.0,SB,60.0,12.0,,-74.24192383100001,-12.936970676999977,POINT (-74.24192383100001 -12.936970676999977),169862
151,151,458.0,SB,60.0,0.0,,-74.22057161200001,-13.118080458999998,POINT (-74.22057161200001 -13.118080458999998),146699
152,152,459.0,SB,220.0,100.0,,-75.692073091,-14.055220393000011,POINT (-75.692073091 -14.055220393000011),206261
153,153,460.0,SB,138.0,66.0,,-72.07150453700001,-13.475496287999988,POINT (-72.07150453700001 -13.475496287999988),216188
154,154,461.0,SB,220.0,30.0,,-74.952635751,-12.784604048999997,POINT (-74.952635751 -12.784604048999997),185304
155,155,462.0,SB,220.0,50.0,,-76.177097866,-13.26578142400001,POINT (-76.177097866 -13.26578142400001),166553
156,156,463.0,SB,220.0,100.0,,-75.96808217099999,-13.716607271999976,POINT (-75.96808217099999 -13.716607271999976),121330
157,157,464.0,SB,220.0,246.0,,-76.16699208699998,-13.785008635999986,POINT (-76.16699208699998 -13.785008635999986),145596
158,158,465.0,SB,220.0,25.0,,-76.30253985000002,-13.061177014999998,POINT (-76.30253985000002 -13.061177014999998),131257
159,159,466.0,SB,60.0,112.5,,-75.24676235300001,-15.255471981000028,POINT (-75.24676235300001 -15.255471981000028),187510
160,160,467.0,SB,138.0,0.0,,-70.46057330100001,-13.64581726199998,POINT (-70.46057330100001 -13.64581726199998),168759
161,161,468.0,SB,138.0,35.0,,-69.22217124600002,-12.588704010000017,POINT (-69.22217124600002 -12.588704010000017),0
162,162,469.0,SB,138.0,52.0,,-71.90649167499998,-13.54635672400002,POINT (-71.90649167499998 -13.54635672400002),220600
163,163,470.0,SB,138.0,12.0,,-70.36276467900001,-13.09553277499998,POINT (-70.36276467900001 -13.09553277499998),138978
164,164,471.0,SB,138.0,24.0,,-70.32142732400001,-14.230935090000004,POINT (-70.32142732400001 -14.230935090000004),163244
165,165,472.0,SB,138.0,25.0,,-72.560973477,-13.175252806000003,POINT (-72.560973477 -13.175252806000003),219497
166,166,473.0,SB,138.0,72.0,,-70.11983635000001,-15.508861876000026,POINT (-70.11983635000001 -15.508861876000026),163244
167,167,474.0,SB,220.0,185.0,,-70.05166267700002,-15.832163907999984,POINT (-70.05166267700002 -15.832163907999984),196334
168,168,475.0,SB,138.0,59.5,,-70.20555979900001,-14.914358526,POINT (-70.20555979900001 -14.914358526),208467
169,169,476.0,SB,138.0,30.0,,-70.39854244399999,-17.421177192000016,POINT (-70.39854244399999 -17.421177192000016),201849
170,170,477.0,SB,60.0,20.0,,-70.33367359900001,-17.994533191000016,POINT (-70.33367359900001 -17.994533191000016),164347
171,171,478.0,SB,220.0,0.0,,-70.317044485,-17.999181545,POINT (-70.317044485 -17.999181545),216188
172,172,479.0,SB,138.0,486.0,,-71.36010850100001,-17.501688554999987,POINT (-71.36010850100001 -17.501688554999987),126845
173,173,480.0,SB,220.0,600.0,,-70.96697249800002,-17.215449330000013,POINT (-70.96697249800002 -17.215449330000013),146699
174,174,481.0,SB,138.0,0.0,,-70.62478707399998,-17.26775842699999,POINT (-70.62478707399998 -17.26775842699999),177583
175,175,482.0,SB,138.0,116.0,,-70.76730759899999,-17.06157374899999,POINT (-70.76730759899999 -17.06157374899999),191922
176,176,483.0,SB,138.0,99.0,,-70.624835915,-17.26882096899999,POINT (-70.624835915 -17.26882096899999),167656
177,177,484.0,SB,220.0,338.0,,-71.187544,-17.775569001000008,POINT (-71.187544 -17.775569001000008),110300
178,178,485.0,SB,138.0,120.0,,-71.51633625400001,-16.473409301999993,POINT (-71.51633625400001 -16.473409301999993),119124
179,179,486.0,SB,138.0,25.0,,-72.168835231,-16.371991552999987,POINT (-72.168835231 -16.371991552999987),147802
180,180,487.0,SB,220.0,0.0,,-71.59040186700003,-16.51753381499998,POINT (-71.59040186700003 -16.51753381499998),202952
181,181,488.0,SB,138.0,20.0,,-71.79202845399999,-16.531938334000017,POINT (-71.79202845399999 -16.531938334000017),188613
182,182,489.0,SB,138.0,0.0,,-71.81974895399998,-16.568489595000017,POINT (-71.81974895399998 -16.568489595000017),205158
183,183,490.0,SB,220.0,150.0,,-75.17703739799998,-15.204646798,POINT (-75.17703739799998 -15.204646798),165450
184,184,491.0,SB,60.0,15.0,,-74.95274393400001,-14.848063396999976,POINT (-74.95274393400001 -14.848063396999976),145596
185,185,492.0,SB,138.0,15.0,,-71.43450924000001,-14.100577213999998,POINT (-71.43450924000001 -14.100577213999998),187510
186,186,493.0,SB,138.0,12.05,,-72.68752499300001,-16.61092956599998,POINT (-72.68752499300001 -16.61092956599998),186407
187,187,494.0,SB,138.0,11.5,,-70.586492378,-14.902907818000015,POINT (-70.586492378 -14.902907818000015),186407
188,188,495.0,SB,138.0,30.0,,-71.40666588900001,-15.53599581100002,POINT (-71.40666588900001 -15.53599581100002),148905
189,189,496.0,SB,138.0,0.0,,-71.44506292699998,-16.262179688999993,POINT (-71.44506292699998 -16.262179688999993),137875
190,190,497.0,SB,60.0,9.0,,-74.11514906000002,-14.686876917999996,POINT (-74.11514906000002 -14.686876917999996),209570
191,191,498.0,SB,138.0,120.0,,-71.31382757199998,-14.882593498000006,POINT (-71.31382757199998 -14.882593498000006),121330
192,192,499.0,SB,220.0,345.0,,-79.05539520299999,-8.045222409000019,POINT (-79.05539520299999 -8.045222409000019),186407
193,193,500.0,SB,138.0,14.0,,-76.509306407,-8.185172684999998,POINT (-76.509306407 -8.185172684999998),217291
194,194,501.0,SB,138.0,150.0,,-79.01710385400003,-8.124475315999973,POINT (-79.01710385400003 -8.124475315999973),200746
195,195,502.0,SB,138.0,60.0,,-79.05450782000003,-8.091141429999993,POINT (-79.05450782000003 -8.091141429999993),211776
196,196,503.0,SB,60.0,0.0,,-79.21303188299999,-7.238435810999988,POINT (-79.21303188299999 -7.238435810999988),195231
197,197,504.0,SB,220.0,110.0,,-79.45810214300002,-7.305374323000024,POINT (-79.45810214300002 -7.305374323000024),179789
198,198,505.0,SB,220.0,150.0,,-78.603042496,-7.058439995000015,POINT (-78.603042496 -7.058439995000015),210673
199,199,506.0,SB,60.0,92.5,,-79.553333656,-7.408870035000007,POINT (-79.553333656 -7.408870035000007),191922
200,200,507.0,SB,138.0,10.0,,-78.81206653999999,-6.401087753000013,POINT (-78.81206653999999 -6.401087753000013),135669
201,201,508.0,SB,138.0,35.0,,-79.24730941399997,-6.6057015690000185,POINT (-79.24730941399997 -6.6057015690000185),129051
202,202,509.0,SB,138.0,20.0,,-78.80640249599998,-5.685444815999972,POINT (-78.80640249599998 -5.685444815999972),220600
203,203,510.0,SB,500.0,672.0,,-80.53122352999998,-5.927279424000005,POINT (-80.53122352999998 -5.927279424000005),113609
204,204,511.0,SB,220.0,200.0,,-80.69914806499997,-5.1691769189999945,POINT (-80.69914806499997 -5.1691769189999945),154420
205,205,512.0,SB,60.0,37.0,,-81.10138016799999,-5.086278827000001,POINT (-81.10138016799999 -5.086278827000001),207364
206,206,513.0,SB,220.0,65.0,,-80.60392585199997,-3.645864388000007,POINT (-80.60392585199997 -3.645864388000007),216188
207,207,514.0,SB,220.0,0.0,,-79.932574881,-3.269308572,POINT (-79.932574881 -3.269308572),121330
208,208,515.0,SB,60.0,20.0,,-70.23200113000001,-17.99061299599998,POINT (-70.23200113000001 -17.99061299599998),152214
209,209,516.0,SB,60.0,90.0,,-76.99057014200002,-12.076572241000008,POINT (-76.99057014200002 -12.076572241000008),193025
210,210,517.0,SB,60.0,65.0,,-80.67788932399998,-4.913867132999997,POINT (-80.67788932399998 -4.913867132999997),205158
211,211,518.0,SB,60.0,74.0,,-80.63592217399997,-5.183075789999975,POINT (-80.63592217399997 -5.183075789999975),178686
212,212,519.0,SB,138.0,31.0,,-78.51394474,-9.105087292000007,POINT (-78.51394474 -9.105087292000007),164347
213,213,520.0,SB,220.0,80.0,,-77.51587928200001,-11.114304737999989,POINT (-77.51587928200001 -11.114304737999989),155523
214,214,521.0,SB,60.0,28.2,,-70.355958563,-17.398939465000012,POINT (-70.355958563 -17.398939465000012),209570
215,215,522.0,SB,60.0,37.0,,-76.19412328300001,-13.712244374000022,POINT (-76.19412328300001 -13.712244374000022),204055
216,216,523.0,SB,60.0,37.5,,-76.24201187,-13.806048465000003,POINT (-76.24201187 -13.806048465000003),161038
217,217,524.0,SB,138.0,44.0,,-76.26395273499998,-10.674100113000009,POINT (-76.26395273499998 -10.674100113000009),111403
218,218,525.0,SB,60.0,25.0,,-75.21744955600002,-12.069007253999985,POINT (-75.21744955600002 -12.069007253999985),159935
219,219,526.0,SB,60.0,22.0,,-75.23152375900003,-12.046585529000026,POINT (-75.23152375900003 -12.046585529000026),178686
220,220,527.0,SB,138.0,36.6,,-71.971382,-13.53017699999998,POINT (-71.971382 -13.53017699999998),219497
221,221,528.0,SB,220.0,240.0,,-78.55674359300002,-9.01077974399999,POINT (-78.55674359300002 -9.01077974399999),120227
222,222,529.0,SB,138.0,58.0,,-76.68818723499999,-10.617951188000006,POINT (-76.68818723499999 -10.617951188000006),170965
223,223,530.0,SB,138.0,36.0,,-71.03167969499998,-17.54726543800001,POINT (-71.03167969499998 -17.54726543800001),134566
224,224,531.0,SB,60.0,65.0,,-79.833842661,-6.7637191239999765,POINT (-79.833842661 -6.7637191239999765),125742
