,OBJECTID,EMPRESA,NOMBRE,TENSION_NO,ESTACION,POTENCIA_N,NUMERO_TRA,geometry
119,530.0,PANAMERICANA SOLAR,PANAMERICANA SOLAR,138.0,S.E. PANAMERICANA,36.0,1.0,POINT (-71.03167969499998 -17.54726543800001)
120,531.0,ELECTRONORTE,CHICLAYO NORTE,60.0,S.E. CHICLAYO OESTE,65.0,3.0,POINT (-79.833842661 -6.7637191239999765)
121,532.0,ELECTRO NOR OESTE,EL ARENAL,60.0,S.E. EL ARENAL,10.0,1.0,POINT (-81.03041091799997 -4.89013587300002)
122,533.0,ELECTROANDES,EXELSIOR,60.0,S.E. EXCELSIOR,0.0,0.0,POINT (-76.26839751099999 -10.683389810999984)
123,534.0,ELECTROANDES,COBRIZA 1,220.0,S.E. COBRIZA 1,50.0,1.0,POINT (-74.65071369999998 -12.359850396000013)
124,535.0,EDELNOR,VENTANILLA,220.0,S.E. VENTANILLA,50.0,2.0,POINT (-77.11835428900002 -11.937073279999993)
125,536.0,REP,CALLAHUANCA,220.0,S.E. CALLAHUANCA,0.0,0.0,POINT (-76.62409589999999 -11.840338551999992)
126,537.0,EDEGEL,CALLAHUANCA EDG,220.0,S.E. CALLAHUANCA,180.45000000000002,5.0,POINT (-76.62607339499999 -11.837807606000013)
127,538.0,REP,SANTA ROSA,220.0,S.E. SANTA ROSA,600.0,5.0,POINT (-77.01127215499997 -12.039023251000003)
128,539.0,EDEGEL,MOYOPAMPA,60.0,S.E. MOYOPAMPA,90.0,3.0,POINT (-76.68951446199998 -11.928119810999988)
129,540.0,EDEGEL,HUAMPANI,60.0,S.E. HUAMPANI,0.0,0.0,POINT (-76.77525950400002 -11.972494700000027)
130,541.0,ABENGOA ATS,POROMA,500.0,S.E. POROMA,450.0,3.0,POINT (-75.05285617700002 -15.046984488000021)
131,542.0,REP,MOLLENDO,138.0,S.E. MOLLENDO,25.0,1.0,POINT (-71.995903983 -17.02535614300001)
132,543.0,REP,TALARA,220.0,S.E. TALARA,0.0,1.0,POINT (-81.264398486 -4.536428820000026)
133,544.0,ELECTROANDES,PARAGSHA,220.0,S.E. PARAGSHA,0.0,0.0,POINT (-76.277764042 -10.672573434000014)
134,545.0,ABENGOA ATS,OCOÑA,500.0,S.E. OCONA,0.0,0.0,POINT (-73.033774596 -16.44356822200001)
135,546.0,TRANSMANTARO,CHIMBOTE NUEVA,500.0,S.E. CHIMBOTE NUEVA,750.0,1.0,POINT (-78.55824628200003 -9.008694462999983)
136,547.0,TRANSMANTARO,TRUJILLO NUEVA,500.0,S.E. TRUJILLO NUEVA,750.0,1.0,POINT (-79.02212236899999 -8.048416007000014)
137,548.0,CAHUA,CAHUA,138.0,S.E. CAHUA,0.0,0.0,POINT (-77.31353471 -10.573827387999984)
138,549.0,EDEGEL,CHIMAY,220.0,S.E. CHIMAY,168.0,1.0,POINT (-75.30387116499998 -11.302912290999984)
139,550.0,EGASA,CONVERTIDOR,138.0,S.E. CONVERTIDOR,60.0,1.0,POINT (-71.53324927199998 -16.382091822000007)
140,551.0,XSTRATA,ANTAPACCAY,220.0,S.E. ANTAPACCAY,125.0,1.0,POINT (-71.37885903699998 -14.950764334999974)
141,552.0,EDELNOR,HUARAL,60.0,S.E. HUARAL,42.0,2.0,POINT (-77.19697400000001 -11.493561)
142,553.0,EDELNOR,CHANCAY,60.0,S.E. CHANCAY,34.0,2.0,POINT (-77.26031899999998 -11.582577000000015)
143,554.0,EDELNOR,ZAPALLAL,60.0,S.E. ZAPALLAL,25.0,1.0,POINT (-77.11112700000001 -11.836927000000003)
