,field_1,OBJECTID,TENSION_NO,POTENCIA_N,x,y
75,75,486.0,138.0,25.0,-72.168835231,-16.371991552999987
76,76,487.0,220.0,0.0,-71.59040186700003,-16.51753381499998
77,77,488.0,138.0,20.0,-71.79202845399999,-16.531938334000017
78,78,489.0,138.0,0.0,-71.81974895399998,-16.568489595000017
79,79,490.0,220.0,150.0,-75.17703739799998,-15.204646797999999
80,80,491.0,60.0,15.0,-74.95274393400001,-14.848063396999976
81,81,492.0,138.0,15.0,-71.43450924000001,-14.100577213999998
82,82,493.0,138.0,12.05,-72.68752499300001,-16.61092956599998
83,83,494.0,138.0,11.5,-70.586492378,-14.902907818000017
84,84,495.0,138.0,30.0,-71.40666588900001,-15.53599581100002
85,85,496.0,138.0,0.0,-71.44506292699998,-16.262179688999993
86,86,497.0,60.0,9.0,-74.11514906000002,-14.686876917999996
87,87,498.0,138.0,120.0,-71.31382757199998,-14.882593498000006
88,88,499.0,220.0,345.0,-79.05539520299999,-8.045222409000019
89,89,500.0,138.0,14.0,-76.509306407,-8.185172684999998
90,90,501.0,138.0,150.0,-79.01710385400003,-8.124475315999973
91,91,502.0,138.0,60.0,-79.05450782000003,-8.091141429999993
92,92,503.0,60.0,0.0,-79.21303188299999,-7.238435810999988
93,93,504.0,220.0,110.0,-79.45810214300002,-7.305374323000024
94,94,505.0,220.0,150.0,-78.603042496,-7.058439995000015
95,95,506.0,60.0,92.5,-79.553333656,-7.408870035000007
96,96,507.0,138.0,10.0,-78.81206653999999,-6.401087753000013
97,97,508.0,138.0,35.0,-79.24730941399997,-6.6057015690000185
98,98,509.0,138.0,20.0,-78.80640249599998,-5.685444815999972
99,99,510.0,500.0,672.0,-80.53122352999998,-5.927279424000005
100,100,511.0,220.0,200.0,-80.69914806499997,-5.1691769189999945
101,101,512.0,60.0,37.0,-81.10138016799999,-5.086278827000001
102,102,513.0,220.0,65.0,-80.60392585199997,-3.645864388000007
103,103,514.0,220.0,0.0,-79.932574881,-3.269308572
104,104,515.0,60.0,20.0,-70.23200113000001,-17.99061299599998
105,105,516.0,60.0,90.0,-76.99057014200002,-12.076572241000008
106,106,517.0,60.0,65.0,-80.67788932399998,-4.913867132999997
107,107,518.0,60.0,74.0,-80.63592217399997,-5.183075789999975
108,108,519.0,138.0,31.0,-78.51394474,-9.105087292000007
109,109,520.0,220.0,80.0,-77.51587928200001,-11.114304737999987
110,110,521.0,60.0,28.2,-70.355958563,-17.398939465000012
111,111,522.0,60.0,37.0,-76.19412328300001,-13.712244374000022
112,112,523.0,60.0,37.5,-76.24201187,-13.806048465000003
113,113,524.0,138.0,44.0,-76.26395273499998,-10.674100113000009
114,114,525.0,60.0,25.0,-75.21744955600002,-12.069007253999985
115,115,526.0,60.0,22.0,-75.23152375900003,-12.046585529000026
116,116,527.0,138.0,36.6,-71.971382,-13.53017699999998
117,117,528.0,220.0,240.0,-78.55674359300002,-9.01077974399999
118,118,529.0,138.0,58.0,-76.68818723499999,-10.617951188000006
119,119,530.0,138.0,36.0,-71.03167969499998,-17.54726543800001
120,120,531.0,60.0,65.0,-79.833842661,-6.7637191239999765
121,121,532.0,60.0,10.0,-81.03041091799997,-4.89013587300002
122,122,533.0,60.0,0.0,-76.26839751099999,-10.683389810999984
123,123,534.0,220.0,50.0,-74.65071369999998,-12.359850396000013
124,124,535.0,220.0,50.0,-77.11835428900002,-11.937073279999993
125,125,536.0,220.0,0.0,-76.62409589999999,-11.840338551999992
126,126,537.0,220.0,180.45000000000002,-76.62607339499999,-11.837807606000013
127,127,538.0,220.0,600.0,-77.01127215499997,-12.039023251000003
128,128,539.0,60.0,90.0,-76.68951446199998,-11.928119810999988
129,129,540.0,60.0,0.0,-76.77525950400002,-11.972494700000027
130,130,541.0,500.0,450.0,-75.05285617700002,-15.046984488000021
131,131,542.0,138.0,25.0,-71.995903983,-17.02535614300001
132,132,543.0,220.0,0.0,-81.264398486,-4.536428820000026
133,133,544.0,220.0,0.0,-76.277764042,-10.672573434000014
134,134,545.0,500.0,0.0,-73.033774596,-16.44356822200001
135,135,546.0,500.0,750.0,-78.55824628200003,-9.008694462999983
136,136,547.0,500.0,750.0,-79.02212236899999,-8.048416007000014
137,137,548.0,138.0,0.0,-77.31353471,-10.573827387999984
138,138,549.0,220.0,168.0,-75.30387116499998,-11.302912290999984
139,139,550.0,138.0,60.0,-71.53324927199998,-16.382091822000007
140,140,551.0,220.0,125.0,-71.37885903699998,-14.950764334999974
141,141,552.0,60.0,42.0,-77.19697400000001,-11.493561
142,142,553.0,60.0,34.0,-77.26031899999998,-11.582577000000015
143,143,554.0,60.0,25.0,-77.11112700000001,-11.836927000000003
144,144,555.0,60.0,25.0,-77.128375,-11.868790999999987
145,145,556.0,60.0,0.0,-77.12549899999999,-11.974824000000012
146,146,557.0,60.0,85.0,-77.06582200000003,-11.945655999999985
147,147,558.0,60.0,400.0,-77.10446498099998,-12.048331609000002
148,148,559.0,60.0,50.0,-77.097622,-12.069431000000009
149,149,560.0,60.0,75.0,-77.06517300000002,-12.043714000000023
150,150,561.0,60.0,65.0,-77.05582800000002,-12.089227999999991
151,151,562.0,60.0,115.0,-77.02481371200003,-12.113670617000025
152,152,563.0,60.0,40.0,-77.039065,-12.095345000000009
153,153,564.0,60.0,105.0,-77.016118,-12.086908999999991
154,154,565.0,60.0,50.0,-76.97387600000002,-12.088273000000015
155,155,566.0,60.0,75.0,-76.96172100000001,-12.155601999999988
156,156,567.0,60.0,100.0,-76.90658300000001,-12.195058000000017
157,157,568.0,60.0,50.0,-76.94683309599998,-12.201463694999973
158,158,569.0,60.0,90.0,-77.03390100000001,-12.043863999999985
159,159,570.0,60.0,90.0,-76.91843699999998,-12.003464000000008
160,160,571.0,60.0,65.0,-76.948805161,-12.035239857000022
161,161,572.0,60.0,100.0,-76.968412,-12.055768
162,162,573.0,60.0,0.0,-72.16857299999998,-15.03571599999998
163,163,574.0,60.0,100.0,-77.01089382100002,-12.041728697999986
164,164,575.0,220.0,60.0,-76.361578425,-10.995037447000016
165,165,576.0,60.0,2.3,-75.55714999999998,-11.268736999999987
166,166,577.0,220.0,50.0,-75.47693299999997,-11.194905000000006
167,167,578.0,60.0,8.0,-77.82892029200002,-8.924729908000018
168,168,579.0,60.0,16.0,-77.84504716599997,-8.921049778999986
169,169,580.0,500.0,635.0,-76.73436952399999,-12.542884467000022
170,170,581.0,500.0,230.0,-76.71614229199997,-12.495045732999984
171,171,582.0,220.0,956.0,-76.72773513200002,-12.503439719000028
172,172,583.0,220.0,50.0,-77.27468671899999,-11.433394410000005
173,173,584.0,220.0,150.0,-79.43841834400001,-7.556851043999984
174,174,585.0,220.0,160.0,-76.45637299999999,-11.885739999999998
175,175,586.0,60.0,25.0,-75.156514846,-15.228266808
176,176,587.0,60.0,42.0,-77.74084826199999,-10.794671853000011
177,177,588.0,60.0,40.0,-80.715410889,-5.165271887000017
178,178,589.0,220.0,144.0,-75.10258792899998,-15.388099098999987
179,179,590.0,138.0,0.0,-71.59067412299999,-16.518519516000026
180,180,591.0,138.0,91.60000000000001,-71.588278296,-16.520483134000017
181,181,592.0,138.0,0.0,-79.07260409100002,-6.529286019999972
182,182,593.0,60.0,1.5,-76.29111468000002,-11.748733571999992
183,183,594.0,60.0,24.2,-76.68818599999997,-11.929626999999982
184,184,595.0,60.0,42.0,-76.884996,-12.01598899999999
185,185,596.0,60.0,25.0,-76.82052099100002,-11.989768158999993
186,186,597.0,60.0,49.0,-75.703576779,-14.194748138000023
187,187,598.0,60.0,13.0,-75.72316999999998,-13.999420999999984
188,188,599.0,60.0,30.0,-75.749408458,-14.047238106999998
189,189,600.0,60.0,15.0,-75.71756448600001,-14.090311062000012
190,190,601.0,60.0,8.4,-76.10580078700002,-13.504727779999996
191,191,602.0,60.0,31.25,-76.13801000000001,-13.45058499999999
192,192,603.0,60.0,31.75,-76.12686200000002,-13.396378000000027
193,193,604.0,138.0,120.0,-78.60063000000002,-9.063384999999982
194,194,605.0,220.0,300.0,-71.51742280500002,-16.475451394999993
195,195,606.0,33.0,25.0,-71.51759499999997,-16.474259000000018
196,196,607.0,220.0,0.0,-71.51634699099998,-16.474864140000022
197,197,608.0,138.0,50.0,-71.309748738,-17.62908581800002
198,198,609.0,138.0,125.0,-75.53570444500002,-10.739732468
199,199,610.0,60.0,13.0,-74.852045869,-12.972136058999979
200,200,611.0,60.0,0.0,-81.06169760199998,-5.0651157940000076
201,201,612.0,33.0,10.0,-71.519363,-16.435828000000015
202,202,613.0,33.0,10.0,-71.54958598299999,-16.38984842399998
203,203,614.0,33.0,20.0,-71.536631,-16.393107999999984
204,204,615.0,60.0,12.0,-76.27950231199998,-6.306846646999986
205,205,616.0,220.0,32.0,-81.180132319,-4.5888414890000035
206,206,617.0,33.0,10.0,-71.50170500000002,-16.368615999999975
207,207,618.0,33.0,10.0,-71.59422945300003,-16.347198777000017
208,208,619.0,33.0,2.0,-71.18486200000001,-16.630522999999982
209,209,620.0,33.0,1.0,-71.89614145799999,-17.09464744600001
210,210,621.0,33.0,4.0,-71.82076048599998,-17.145766190000018
211,211,622.0,33.0,6.0,-72.08936699999998,-17.00220200000001
212,212,623.0,33.0,2.0,-71.75516752200002,-17.08836104599999
213,213,624.0,33.0,2.0,-71.722458061,-17.072284679000006
214,214,625.0,33.0,6.0,-72.05619300000001,-17.009191999999985
215,215,626.0,33.0,7.0,-76.12359700000002,-5.913213999999982
216,216,627.0,33.0,20.0,-71.51300372700001,-16.416867061999994
217,217,628.0,60.0,4.0,-73.78853515700001,-12.631181824999999
218,218,629.0,60.0,7.0,-74.99955945300002,-10.212198383999976
219,219,630.0,60.0,9.0,-74.85854799999998,-10.942993999999999
220,220,631.0,33.0,2.0,-75.550005,-10.143033000000003
221,221,632.0,60.0,4.0,-72.64729715700003,-15.843787033000012
222,222,633.0,60.0,15.0,-75.27741700000001,-10.734984999999995
223,223,634.0,60.0,9.0,-74.60799700000001,-11.216721000000007
224,224,635.0,60.0,7.0,-69.543092,-14.683795999999973
225,225,636.0,60.0,28.0,-74.58217605099998,-8.352911776999974
226,226,637.0,138.0,15.0,-77.44862596500002,-8.036764828999992
227,227,638.0,60.0,9.0,-77.18103000000002,-9.346915000000024
228,228,639.0,60.0,4.0,-77.908863,-8.657227999999975
229,229,640.0,138.0,8.0,-77.634224975,-8.55950883600002
230,230,641.0,60.0,6.0,-77.470677045,-8.809002825999983
231,231,642.0,138.0,25.0,-78.32021899699998,-9.463306588000023
232,232,643.0,138.0,7.2,-77.582652,-9.472908000000018
233,233,644.0,138.0,7.0,-78.294578,-9.151871000000028
234,234,645.0,60.0,13.0,-78.15803654199999,-10.06751768700002
235,235,646.0,138.0,40.0,-75.403733983,-10.581226990999994
236,236,647.0,60.0,9.0,-77.44888700000001,-9.752153000000021
237,237,648.0,60.0,3.0,-76.36711000000003,-10.485697000000016
238,238,649.0,60.0,1.0,-75.32787300000001,-11.081444999999974
239,239,650.0,60.0,10.0,-75.687018959,-11.40197800499999
240,240,651.0,60.0,50.0,-77.60845471099998,-11.096923157999981
241,241,652.0,60.0,7.0,-77.245590886,-11.133848410999974
242,242,653.0,60.0,7.0,-75.48278699999997,-11.795347995999975
243,243,654.0,60.0,12.75,-75.69722452000002,-12.293859725999994
244,244,655.0,60.0,0.0,-74.220865,-13.152778000000012
245,245,656.0,60.0,0.0,-71.80347,-15.213006000000007
246,246,657.0,60.0,1.0,-71.85997400000002,-13.422123999999997
247,247,658.0,138.0,40.0,-72.8781404,-13.62052920299999
248,248,659.0,60.0,25.0,-76.36567400000001,-13.074550999999985
249,249,660.0,60.0,13.0,-75.19627999400001,-13.200975975000006
250,250,661.0,60.0,0.0,-74.143221014,-13.621102993000022
251,251,662.0,33.0,5.0,-70.85716000000002,-15.241417000000013
252,252,663.0,60.0,0.0,-72.643798,-12.996983
253,253,664.0,60.0,7.0,-72.52852970999999,-12.652981484000009
254,254,665.0,60.0,7.0,-69.63113193599997,-16.09748932299999
255,255,666.0,60.0,7.0,-69.29587998,-16.267889079999975
256,256,667.0,33.0,0.8,-69.89935557799998,-17.618753002000005
257,257,668.0,33.0,0.64,-70.24490781399999,-17.336157518999983
258,258,669.0,33.0,0.25,-69.62637184200003,-17.577906429999985
259,259,670.0,33.0,0.8,-70.02942628300002,-17.474351865000017
260,260,671.0,33.0,0.32,-70.12139881399997,-17.401223759999993
261,261,672.0,60.0,7.0,-70.46778853199999,-18.174338229
262,262,673.0,60.0,3.0,-70.54389893500002,-17.847129247999987
263,263,674.0,220.0,150.0,-71.594114564,-16.516594924000003
264,264,675.0,60.0,7.0,-73.78443193700002,-15.011720763000028
265,265,676.0,60.0,0.0,-71.92669999999998,-15.10469999999998
266,266,677.0,60.0,10.0,-73.378175349,-13.650192354000012
267,267,678.0,60.0,9.0,-75.20814557,-14.581089695999992
268,268,679.0,138.0,20.0,-72.37197531300001,-16.470616011000004
269,269,680.0,60.0,18.0,-74.66579833600002,-15.455654767999988
270,270,681.0,60.0,7.0,-71.229565046,-14.252574626000012
271,271,682.0,60.0,7.0,-73.30680614800002,-14.150010606000023
272,272,683.0,138.0,60.0,-78.98150087900001,-8.087513195999975
273,273,684.0,60.0,7.0,-79.56561499999998,-6.88409200000001
274,274,685.0,138.0,7.0,-76.75277,-7.1668149999999855
275,275,686.0,138.0,7.0,-77.30318798000002,-8.271006874000022
276,276,687.0,60.0,9.0,-78.00077499999998,-8.252918000000022
277,277,688.0,138.0,24.0,-78.240429,-7.958119000000011
278,278,689.0,60.0,3.0,-78.14987000000002,-7.360181000000011
279,279,690.0,138.0,25.0,-76.35744799999998,-6.491248999999982
280,280,691.0,60.0,7.0,-79.70516700000002,-6.756411000000014
281,281,692.0,60.0,7.0,-77.63474500000001,-7.721748999999988
282,282,693.0,60.0,7.0,-78.82617025100001,-7.2275018180000075
283,283,694.0,60.0,7.0,-78.040749,-7.618844000000024
284,284,695.0,138.0,13.4,-78.50133899999997,-7.999029000000007
285,285,696.0,138.0,37.5,-79.24968750800002,-7.955090686999995
286,286,697.0,60.0,66.0,-78.55181199999998,-6.99702400000001
287,287,698.0,220.0,80.0,-78.54739556200002,-6.9923019679999925
288,288,699.0,60.0,3.0,-79.12189296499997,-7.251712924000003
289,289,700.0,138.0,15.0,-76.973544,-6.047087999999974
290,290,701.0,60.0,10.0,-76.88054299999999,-6.107783999999981
291,291,702.0,60.0,7.0,-78.15280100000001,-6.877005999999994
292,292,703.0,60.0,7.0,-79.771163,-6.763759999999991
293,293,704.0,60.0,9.0,-78.53685096999999,-5.630583893999983
294,294,705.0,60.0,20.0,-78.80444299999999,-5.692911999999978
295,295,706.0,60.0,9.0,-79.896025436,-6.704508573999988
296,296,707.0,60.0,6.5,-79.85468900000001,-6.476754000000028
297,297,708.0,60.0,9.0,-79.71645285800003,-6.147168409000017
298,298,709.0,60.0,6.5,-79.75983100000002,-6.3127190000000155
299,299,710.0,60.0,7.0,-79.53422599999999,-5.919034000000011
300,300,711.0,60.0,7.0,-79.69187899999997,-6.00051400000001
301,301,712.0,60.0,9.0,-79.65475655099999,-5.41706909200002
302,302,713.0,60.0,7.0,-79.99118336100003,-5.189374860999976
303,303,714.0,60.0,23.0,-80.17355603599998,-5.141648982999982
304,304,715.0,138.0,50.0,-80.83172045100002,-6.021200739999983
305,305,716.0,60.0,18.0,-80.61215399999998,-5.160781999999983
306,306,717.0,60.0,10.0,-77.30750047599997,-5.9307554779999805
307,307,718.0,60.0,8.0,-77.160892579,-6.054866054000001
308,308,719.0,60.0,9.0,-80.76224903999997,-5.403319977000024
309,309,720.0,60.0,30.0,-80.97986600000002,-4.9358609999999885
310,310,721.0,60.0,9.0,-80.83129901000001,-5.700063010000008
311,311,722.0,60.0,5.0,-81.04370734499997,-4.108255600999996
312,312,723.0,60.0,30.0,-80.44817326700002,-3.575935199000014
313,313,724.0,60.0,10.0,-80.28004955300003,-3.5106895210000175
314,314,725.0,60.0,25.0,-79.89606594899999,-6.731562415999974
315,315,726.0,138.0,42.0,-70.62648200000001,-17.231577000000016
316,316,727.0,60.0,7.0,-80.81557199999997,-5.5558770000000095
317,317,728.0,60.0,5.0,-69.75385299999999,-15.198194999999998
318,318,729.0,60.0,3.0,-74.37954503700001,-12.593736965000005
319,319,730.0,33.0,2.0,-71.34077300000001,-16.556872
320,320,731.0,60.0,0.0,-76.29230261700002,-10.647377738999978
321,321,732.0,60.0,8.4,-76.211849798,-13.69947627099998
322,322,733.0,60.0,0.0,-76.27680580399999,-10.719852182000011
323,323,734.0,60.0,0.0,-76.260430848,-10.758782345999975
324,324,735.0,60.0,1.0,-76.22927801899999,-10.824355018000006
325,325,736.0,60.0,10.0,-75.18668200500002,-12.047906101000024
326,326,737.0,60.0,10.0,-75.31489853900001,-11.93501336700001
327,327,738.0,138.0,70.0,-71.35164700000001,-17.580129999999997
328,328,739.0,60.0,9.0,-78.52345200000002,-5.489051000000018
329,329,740.0,60.0,12.0,-77.16821599999997,-11.773531999999989
330,330,741.0,60.0,23.0,-77.129726,-11.919407999999976
331,331,742.0,60.0,75.0,-77.097284,-12.01436000000001
332,332,743.0,60.0,50.0,-77.04220500000002,-11.891332999999975
333,333,744.0,60.0,50.0,-77.06844799999999,-11.869028000000014
334,334,745.0,60.0,50.0,-77.13303000000002,-12.055386999999996
335,335,746.0,60.0,75.0,-77.06307399999997,-12.062296000000003
336,336,747.0,60.0,75.0,-77.06313999999998,-11.970011999999997
337,337,748.0,60.0,65.0,-77.08892400000002,-12.047888
338,338,749.0,60.0,50.0,-77.01520900000003,-12.146428000000014
339,339,750.0,60.0,50.0,-77.00165399999997,-12.194289000000026
340,340,751.0,60.0,25.0,-76.92262899999997,-12.226170000000025
341,341,752.0,60.0,40.0,-77.01448599999998,-12.057189999999991
342,342,753.0,60.0,42.0,-76.925521,-12.085379999999986
343,343,754.0,60.0,145.0,-76.94776999999999,-12.057227000000012
344,344,755.0,33.0,1.0,-75.46244300000001,-12.06189599999999
345,345,756.0,33.0,5.0,-75.28331700000001,-12.052992000000017
346,346,757.0,60.0,25.0,-79.55103100000002,-7.412127999999996
347,347,758.0,60.0,4.0,-76.14436,-11.59876300000002
348,348,759.0,60.0,6.0,-76.13780600000001,-11.600472000000025
349,349,760.0,60.0,0.0,-76.23395422300001,-11.650092586000028
350,350,761.0,60.0,5.0,-76.234305,-11.64776599999999
351,351,762.0,60.0,0.0,-76.455036,-11.887481999999977
352,352,763.0,60.0,55.0,-75.91001299999999,-13.905721000000028
353,353,764.0,60.0,0.0,-72.28652,-15.206819999999993
354,354,765.0,60.0,0.0,-78.14191599999998,-10.114803999999992
355,355,766.0,60.0,265.0,-79.87069182699997,-6.781473203000019
356,356,767.0,220.0,35.0,-79.24630822400002,-6.606725071000028
357,357,768.0,60.0,110.0,-79.45858903999999,-7.306316562999996
358,358,769.0,60.0,75.0,-77.03212414799998,-12.06330277799998
359,359,770.0,60.0,24.0,-76.772541015,-12.383769180999991
360,360,771.0,60.0,67.0,-76.88415347900002,-12.261476433999974
361,361,772.0,60.0,145.0,-76.728025,-12.496136999999976
362,362,773.0,60.0,25.0,-76.60844900000001,-12.714540999999997
363,363,774.0,60.0,35.0,-70.27161156800003,-18.025368671000024
364,364,775.0,60.0,2.0,-70.356754932,-17.39839275899999
365,365,776.0,60.0,40.0,-74.54855300000003,-8.385152000000005
366,366,777.0,60.0,0.0,-76.99231400000002,-12.017593999999974
367,367,778.0,60.0,75.0,-77.01395100000002,-11.98157500000002
368,368,779.0,60.0,75.0,-76.96781700000003,-11.930571999999984
369,369,780.0,138.0,36.0,-71.68660399999999,-16.258860000000027
370,370,781.0,33.0,18.0,-71.68325399999998,-16.254179000000022
371,371,782.0,33.0,26.0,-81.26409961799999,-4.538058944999989
372,372,783.0,60.0,14.0,-81.02743908000002,-5.844150322000019
373,373,784.0,60.0,10.0,-80.63872600000002,-5.188140999999973
374,374,785.0,220.0,79.0,-78.630067016,-6.769942747000016
375,375,786.0,60.0,7.0,-74.89480429399998,-12.408965792999993
376,376,787.0,33.0,3.0,-74.78821099999999,-12.462935000000016
377,377,788.0,33.0,1.0,-74.70823999999999,-12.377016000000026
378,378,789.0,60.0,21.5,-75.896787604,-11.523801509000009
379,379,790.0,60.0,9.0,-75.89612399999999,-11.528044000000023
380,380,791.0,220.0,200.0,-75.91815600000001,-11.532286
381,381,792.0,60.0,5.0,-76.05783500000001,-11.738239000000021
382,382,793.0,60.0,2.0,-76.01462979399997,-11.744027447999997
383,383,794.0,60.0,6.0,-76.05610200000001,-11.632090000000005
384,384,795.0,60.0,8.0,-76.21562399999999,-10.578499000000022
385,385,796.0,60.0,14.0,-75.924306,-11.534257000000025
386,386,797.0,60.0,100.0,-77.06556411999998,-11.997812610999972
387,387,798.0,60.0,40.0,-77.04657578000001,-12.028038836999997
388,388,799.0,60.0,7.0,-72.69252599999999,-12.880655999999988
389,389,800.0,60.0,3.0,-72.11011625499998,-13.315168938999989
390,390,801.0,33.0,4.0,-71.63861000000003,-13.687139000000002
391,391,802.0,220.0,100.0,-76.968374095,-12.055830931999992
392,392,803.0,220.0,0.0,-71.31105579199999,-14.897300013000006
393,393,804.0,60.0,12.0,-78.68097599999999,-8.528629000000024
394,394,805.0,60.0,20.0,-78.77794899999998,-8.422668999999985
395,395,806.0,33.0,3.0,-79.00529639400003,-8.170505822999985
396,396,807.0,33.0,3.0,-78.97901200000001,-8.216272000000004
397,397,808.0,220.0,410.0,-76.973369263,-12.177475430000015
398,398,809.0,138.0,345.0,-79.05541778000003,-8.046447453999974
399,399,810.0,60.0,30.0,-75.99128400000001,-13.087737000000004
400,400,811.0,60.0,12.0,-70.02649600000001,-15.832559000000003
401,401,812.0,33.0,32.5,-71.53425199999998,-16.383118000000024
402,402,813.0,60.0,100.0,-75.968514346,-13.716216676999977
403,403,814.0,500.0,1200.0,-76.962284571,-11.795979752999983
404,404,815.0,60.0,240.0,-77.11697199999998,-11.93144000000001
405,405,816.0,220.0,600.0,-76.72623406100001,-12.497276371999988
406,406,817.0,60.0,6.0,-70.30069846700002,-14.300222926999993
407,407,818.0,220.0,0.0,-79.79326396599998,-6.86244581699998
408,408,819.0,60.0,4.0,-72.452347196,-16.28165149199998
409,409,820.0,500.0,1200.0,-71.80843020600003,-16.676573459999986
410,410,821.0,220.0,450.0,-71.58734978400003,-16.560392494999974
411,411,822.0,220.0,300.0,-71.58930108599998,-16.554687058000013
412,412,823.0,138.0,400.0,-71.123122298,-17.57650000000001
413,413,824.0,138.0,10.0,-70.83453987000001,-17.411142487000006
414,414,825.0,33.0,90.0,-81.28329300000001,-4.576997000000006
415,415,826.0,220.0,0.0,-81.17586645400002,-4.587437625999996
416,416,827.0,33.0,3.0,-78.54318834200001,-7.994537978999972
